Date,Latitude,Longitude,Pressure,Max Winds,Max Gust
YYMMDD HH,Deg,Deg,mbar,kts,kts
170916 21,12.3,-52.6,1002,45,55
170917 03,12.5,-53.7,1002,45,55
170917 09,13.0,-54.9,994,55,65
170917 15,13.5,-56.2,994,55,65
170917 21,13.8,-57.5,982,65,80
170918 03,14.2,-58.4,979,75,90
170918 09,14.6,-59.5,977,80,100
170918 15,14.7,-60.1,959,105,130
170918 21,15.1,-60.7,950,115,140
170919 00,15.3,-61.1,925,140,170
170919 03,15.5,-61.4,924,140,170
170919 09,16.0,-62.3,934,135,165
170919 15,16.3,-63.1,927,140,170
170919 21,16.8,-64.0,916,145,175
170920 03,17.3,-64.7,909,150,185
170920 09,17.9,-65.6,917,135,165
170920 15,18.4,-66.5,930,120,145
170920 21,18.8,-67.3,957,95,115
170921 03,19.2,-67.9,959,95,115
170921 09,19.6,-68.4,959,100,120
170921 15,20.2,-69.1,960,100,120
170921 21,20.8,-69.8,960,105,130
170922 03,21.0,-70.2,955,110,135
170922 09,21.6,-70.6,959,110,135
170922 15,22.3,-71.0,958,110,135
170922 21,23.3,-71.4,959,110,135
170923 03,24.1,-71.7,954,110,135
170923 09,24.8,-72.0,952,105,130
170923 15,25.4,-72.3,952,100,125
170923 21,26.3,-72.5,950,100,120
170924 03,27.0,-72.5,942,100,120
170924 09,27.9,-72.7,948,95,115
170924 15,28.7,-72.9,947,90,110
170924 21,29.4,-73.0,941,90,110
170925 03,30.0,-73.0,950,80,100
170925 09,30.6,-73.0,957,70,85
170925 15,31.2,-72.9,963,70,85
170925 21,31.7,-73.1,965,70,85
